Продукт;Идентификатор пробы;Дата;Время;Статус пробы;Номер пробы;Fat;Lactose;Protein;SNF;TS;Белок;Жир;Лактоза;Сухие;Сухой остаток;Сухой остаток не жир;Т.замерзания;лактоза;Formaldeh;P-Nitrite;S-Bicarb;Sucrose;Urea;Zero1;Zero2;Zero3;Buffalo Milk;Cow Milk;Состояние прибора
Молоко 2 гатунок;1633_2;17-04-2021;10:32:03;0034 : Лицензия истекла;34156;;;;;;3.18;3.76;4.49;12.44;;8.53;-0.502;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;10:36:12;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;10:41:04;0000 : Ошибка отсутствует;34157;;;;;;;;;;;;;;;;;;;0.01;-0.00;0.00;;;0000 : ОК
Молоко 2 гатунок;1634_2;17-04-2021;10:44:07;0034 : Лицензия истекла;34160;;;;;;3.05;3.86;4.49;12.51;;8.49;-0.494;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1635_2;17-04-2021;10:45:58;0034 : Лицензия истекла;34161;;;;;;2.93;3.57;4.57;12.11;;8.40;-0.499;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1636_2;17-04-2021;10:48:03;0034 : Лицензия истекла;34162;;;;;;2.98;3.58;4.48;11.99;;8.23;-0.485;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;10:52:12;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1637_2;17-04-2021;10:55:27;0034 : Лицензия истекла;34163;;;;;;2.99;3.74;4.46;12.18;;8.29;-0.492;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1638_2;17-04-2021;10:57:42;0034 : Лицензия истекла;34164;;;;;;3.01;3.38;4.43;11.81;;8.29;-0.487;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1639_2;17-04-2021;10:59:32;0034 : Лицензия истекла;34165;;;;;;2.95;3.66;4.36;11.96;;8.13;-0.472;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;11:03:45;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1640_2;17-04-2021;11:14:36;0034 : Лицензия истекла;34166;;;;;;3.08;3.71;4.51;12.30;;8.48;-0.498;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1641_2;17-04-2021;11:16:30;0034 : Лицензия истекла;34167;;;;;;3.12;3.53;4.43;12.13;;8.39;-0.490;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1642_2;17-04-2021;11:18:12;0034 : Лицензия истекла;34168;;;;;;3.07;3.87;4.57;12.52;;8.49;-0.493;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1643_2;17-04-2021;11:20:50;0034 : Лицензия истекла;34169;;;;;;2.80;3.81;4.34;11.88;;7.93;-0.471;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1644_2;17-04-2021;11:22:45;0034 : Лицензия истекла;34170;;;;;;2.91;4.31;4.42;12.54;;8.11;-0.485;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1645_2;17-04-2021;11:27:10;0034 : Лицензия истекла;34171;;;;;;3.53;4.03;4.37;12.96;;8.77;-0.487;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;11:31:19;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;11:43:07;0000 : Ошибка отсутствует;34172;;;;;;;;;;;;;;;;;;;0.01;-0.00;-0.00;;;0000 : ОК
Молоко 2 гатунок;1646_2;17-04-2021;11:45:19;0034 : Лицензия истекла;34175;;;;;;3.03;3.49;4.55;12.09;;8.44;-0.495;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;11:49:28;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1647_2;17-04-2021;12:10:10;0034 : Лицензия истекла;34176;;;;;;3.01;4.19;4.37;12.48;;8.20;-0.478;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1648_2;17-04-2021;12:12:07;0034 : Лицензия истекла;34177;;;;;;3.02;4.07;4.49;12.57;;8.38;-0.498;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;12:16:15;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;12:45:10;0000 : Ошибка отсутствует;34178;;;;;;;;;;;;;;;;;;;0.00;-0.01;-0.00;;;0000 : ОК
Молоко знежирене;5_5;17-04-2021;13:21:23;0034 : Лицензия истекла;34181;;;;;;2.97;0.08;4.39;8.39;;8.19;-0.480;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;13:25:31;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко знежирене;5_50;17-04-2021;13:44:53;0034 : Лицензия истекла;34182;;;;;;2.97;0.09;4.39;8.42;;8.20;-0.480;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;13:47:11;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;13:48:16;0000 : Ошибка отсутствует;34183;;;;;;;;;;;;;;;;;;;-0.01;0.01;0.00;;;0000 : ОК
Молоко 2 гатунок;1649_2;17-04-2021;13:52:50;0034 : Лицензия истекла;34186;;;;;;2.94;4.02;4.46;12.37;;8.21;-0.492;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1650_2;17-04-2021;13:56:01;0034 : Лицензия истекла;34187;;;;;;3.07;3.75;4.38;12.21;;8.28;-0.485;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Сливки;1т ;17-04-2021;13:57:53;0000 : Ошибка отсутствует;34188;;;;;;1.91;35.86;;;40.71;5.51;;2.73;;;;;;;;;;;0000 : ОК
Clean;;17-04-2021;14:01:05;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1651_2;17-04-2021;14:09:11;0034 : Лицензия истекла;34189;;;;;;2.88;3.77;4.56;12.21;;8.21;-0.477;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1652_2;17-04-2021;14:11:14;0034 : Лицензия истекла;34190;;;;;;2.82;3.62;4.45;11.88;;8.04;-0.467;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1653_2;17-04-2021;14:13:17;0034 : Лицензия истекла;34191;;;;;;2.92;3.72;4.52;12.15;;8.21;-0.476;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;14:14:58;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1654_2;17-04-2021;14:18:31;0034 : Лицензия истекла;34192;;;;;;3.01;3.52;4.53;12.08;;8.42;-0.494;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;14:22:39;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;14:50:17;0000 : Ошибка отсутствует;34193;;;;;;;;;;;;;;;;;;;-0.01;0.01;0.00;;;0000 : ОК
Молоко;1655;17-04-2021;14:53:38;0034 : Лицензия истекла;34196;;;;;;3.53;4.01;4.72;13.30;;9.29;-0.519;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1656_2;17-04-2021;14:56:08;0034 : Лицензия истекла;34197;;;;;;3.48;4.13;4.51;13.12;;8.84;-0.495;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;15:00:17;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;13;17-04-2021;15:12:03;0034 : Лицензия истекла;34198;;;;;;2.84;3.50;4.25;11.55;;7.85;-0.463;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;15:16:11;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1657_2;17-04-2021;15:33:50;0034 : Лицензия истекла;34199;;;;;;2.89;3.31;4.36;11.58;;8.11;-0.487;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1658_2;17-04-2021;15:35:38;0034 : Лицензия истекла;34200;;;;;;2.80;3.31;4.32;11.43;;7.91;-0.478;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;15:39:48;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Сливки;1с литвак;17-04-2021;15:41:41;0000 : Ошибка отсутствует;34201;;;;;;1.86;35.52;;;40.25;5.51;;2.73;;;;;;;;;;;0000 : ОК
Сливки;2с вершки;17-04-2021;15:43:47;0000 : Ошибка отсутствует;34202;;;;;;1.83;35.53;;;40.36;5.54;;2.79;;;;;;;;;;;0000 : ОК
Clean;;17-04-2021;15:47:57;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;15:52:20;0000 : Ошибка отсутствует;34203;;;;;;;;;;;;;;;;;;;-0.00;-0.00;-0.01;;;0000 : ОК
Молоко 2 гатунок;1659_2;17-04-2021;16:07:00;0034 : Лицензия истекла;34206;;;;;;2.95;3.46;4.39;11.79;;8.16;-0.482;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1660_2;17-04-2021;16:08:57;0034 : Лицензия истекла;34207;;;;;;2.95;3.48;4.34;11.77;;8.09;-0.483;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;16:13:05;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;3_6;17-04-2021;16:51:42;0034 : Лицензия истекла;34208;;;;;;3.04;3.58;4.35;11.97;;8.22;-0.480;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;16:54:23;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;16:55:27;0000 : Ошибка отсутствует;34209;;;;;;;;;;;;;;;;;;;0.00;-0.00;-0.00;;;0000 : ОК
Молоко 2 гатунок;9_50;17-04-2021;16:58:42;0034 : Лицензия истекла;34212;;;;;;2.94;3.66;4.41;12.01;;8.19;-0.479;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;17:02:51;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;17:57:28;0000 : Ошибка отсутствует;34213;;;;;;;;;;;;;;;;;;;0.01;0.00;0.00;;;0000 : ОК
Сливки;1т;17-04-2021;17:59:55;0000 : Ошибка отсутствует;34216;;;;;;1.86;34.57;;;39.34;5.43;;2.67;;;;;;;;;;;0000 : ОК
Clean;;17-04-2021;18:04:31;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1661_2;17-04-2021;18:24:20;0034 : Лицензия истекла;34217;;;;;;2.87;3.26;4.19;11.25;;7.86;-0.464;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1662_2;17-04-2021;18:26:35;0034 : Лицензия истекла;34218;;;;;;2.85;3.27;4.21;11.26;;7.86;-0.463;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;17-04-2021;18:30:43;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Сливки;1с шевчук;17-04-2021;18:51:47;0000 : Ошибка отсутствует;34219;;;;;;1.84;34.56;;;39.22;5.49;;2.70;;;;;;;;;;;0000 : ОК
Сливки;2с шевчук;17-04-2021;18:53:55;0000 : Ошибка отсутствует;34220;;;;;;1.88;34.41;;;39.19;5.51;;2.71;;;;;;;;;;;0000 : ОК
Clean;;17-04-2021;18:55:46;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;17-04-2021;18:59:31;0000 : Ошибка отсутствует;34221;;;;;;;;;;;;;;;;;;;-0.00;0.00;-0.00;;;0000 : ОК
Молоко знежирене;12_50;17-04-2021;19:41:31;0034 : Лицензия истекла;34224;;;;;;2.88;0.07;4.25;8.13;;7.93;-0.465;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
