Продукт;Идентификатор пробы;Дата;Время;Статус пробы;Номер пробы;Fat;Lactose;Protein;SNF;TS;Белок;Жир;Лактоза;Сухие;Сухой остаток;Сухой остаток не жир;Т.замерзания;лактоза;Formaldeh;P-Nitrite;S-Bicarb;Sucrose;Urea;Zero1;Zero2;Zero3;Buffalo Milk;Cow Milk;Состояние прибора
Zero;;18-04-2021;08:33:25;0000 : Ошибка отсутствует;34342;;;;;;;;;;;;;;;;;;;-0.02;0.00;0.01;;;0103 : Установка нуля не выполнена
Молоко 2 гатунок;1677_2;18-04-2021;08:57:52;0034 : Лицензия истекла;34345;;;;;;3.05;3.65;4.37;12.03;;8.24;-0.488;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1678_2;18-04-2021;08:59:58;0034 : Лицензия истекла;34346;;;;;;2.89;3.34;4.35;11.50;;8.03;-0.481;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1679_2;18-04-2021;09:02:14;0034 : Лицензия истекла;34347;;;;;;3.23;3.88;4.50;12.63;;8.57;-0.505;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;09:06:22;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1680_2;18-04-2021;09:08:46;0006 : Проточная система заблокирована;34348;;;;;;0.00;0.00;0.00;0.00;;0.00;0.000;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;09:09:22;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0115 : Проточная система заблокирована
Молоко 2 гатунок;1680_2;18-04-2021;09:10:51;0034 : Лицензия истекла;34349;;;;;;2.71;3.33;4.15;11.19;;7.71;-0.463;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;09:16:56;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Промивка 1 раз в тиждень;;18-04-2021;09:18:47;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Промивка 1 раз в тиждень;;18-04-2021;09:27:11;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Clean;;18-04-2021;09:34:19;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;18-04-2021;09:35:35;0000 : Ошибка отсутствует;34350;;;;;;;;;;;;;;;;;;;-0.00;0.00;-0.01;;;0000 : ОК
Молоко 2 гатунок;1681_2;18-04-2021;09:54:02;0034 : Лицензия истекла;34353;;;;;;2.96;3.36;4.47;11.80;;8.28;-0.490;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;09:58:11;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1692_2;18-04-2021;10:06:45;0034 : Лицензия истекла;34354;;;;;;3.16;3.70;4.42;12.26;;8.39;-0.488;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1683_2;18-04-2021;10:09:04;0034 : Лицензия истекла;34355;;;;;;3.03;3.39;4.41;11.82;;8.28;-0.482;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1683_2;18-04-2021;10:11:09;0034 : Лицензия истекла;34356;;;;;;3.03;3.59;4.34;11.98;;8.20;-0.476;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;10:15:17;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1685_2;18-04-2021;10:32:43;0034 : Лицензия истекла;34357;;;;;;2.94;3.56;4.40;11.85;;8.16;-0.481;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1686_2;18-04-2021;10:36:21;0034 : Лицензия истекла;34358;;;;;;2.91;3.63;4.39;11.92;;8.11;-0.483;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;10:37:38;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;18-04-2021;10:38:43;0000 : Ошибка отсутствует;34359;;;;;;;;;;;;;;;;;;;-0.01;0.00;0.00;;;0000 : ОК
Молоко 2 гатунок;1687_2;18-04-2021;10:41:32;0034 : Лицензия истекла;34362;;;;;;3.14;3.66;4.45;12.27;;8.47;-0.498;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;10:45:40;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
