Продукт;Идентификатор пробы;Дата;Время;Статус пробы;Номер пробы;Fat;Lactose;Protein;SNF;TS;Белок;Жир;Лактоза;Сухие;Сухой остаток;Сухой остаток не жир;Т.замерзания;лактоза;Formaldeh;P-Nitrite;S-Bicarb;Sucrose;Urea;Zero1;Zero2;Zero3;Buffalo Milk;Cow Milk;Состояние прибора
Zero;;18-04-2021;08:33:25;0000 : Ошибка отсутствует;34342;;;;;;;;;;;;;;;;;;;-0.02;0.00;0.01;;;0103 : Установка нуля не выполнена
Молоко 2 гатунок;1677_2;18-04-2021;08:57:52;0034 : Лицензия истекла;34345;;;;;;3.05;3.65;4.37;12.03;;8.24;-0.488;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1679_2;18-04-2021;09:02:14;0034 : Лицензия истекла;34347;;;;;;3.23;3.88;4.50;12.63;;8.57;-0.505;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;09:06:22;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1678_2;18-04-2021;08:59:58;0034 : Лицензия истекла;34346;;;;;;2.89;3.34;4.35;11.50;;8.03;-0.481;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;09:06:22;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1678_2;18-04-2021;09:59:58;0034 : Лицензия истекла;34346;;;;;;2.89;3.34;4.35;11.50;;8.03;-0.481;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1678_2;18-04-2021;10:02:58;0035 : Лицензия истекла;34346;;;;;;2.89;3.34;4.35;11.50;;8.03;-0.481;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Clean;;18-04-2021;09:06:22;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Молоко 2 гатунок;1678_2;18-04-2021;10:03:58;0036 : Лицензия истекла;34346;;;;;;2.89;3.34;4.35;11.50;;8.03;-0.481;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
Молоко 2 гатунок;1678_2;18-04-2021;10:04:58;0037 : Лицензия истекла;34346;;;;;;2.89;3.34;4.35;11.50;;8.03;-0.481;;0.00;0.00;0.00;0.00;0.00;;;;;0.00;0000 : ОК
